player_id,team_id,assists,attempts_on_target,attempts_at_goal,attempts_at_goal_conv_rate,attempts_inside_penalty,attempts_outside_penalty,headed_attempts_at_goal,xg,xg_efficiency,corners
937,26,1,0,1,0,0,1,0,0.03,0x,0
678,25,1,0,0,0,0,0,0,0,0x,0
1006,24,1,2,4,50,4,0,0,0.97,2.06x,7
334,26,1,0,1,0,1,0,0,0.03,0x,0
635,25,1,1,1,100,0,1,0,0.09,11.52x,0
701,27,1,1,4,0,1,3,0,0.15,0x,9
231,11,1,0,1,0,1,0,0,0.05,0x,0
644,25,1,2,5,20,2,3,0,0.17,5.98x,0
674,25,1,0,3,0,3,0,2,0.22,0x,0
329,36,1,2,3,0,3,0,0,0.43,0x,0
881,26,1,3,8,13,4,4,0,1.13,0.89x,0
822,11,1,2,2,0,0,2,0,0.05,0x,0
1154,31,1,0,1,0,0,1,0,0.02,0x,3
157,41,1,1,4,0,2,2,2,0.15,0x,0
388,41,1,2,11,0,10,1,4,2.28,0x,0
1055,43,1,4,6,33,4,2,0,1.31,1.53x,11
41,48,1,0,1,0,1,0,0,0.08,0x,0
53,41,1,4,11,9,4,7,0,0.4,2.49x,24
295,6,1,0,0,0,0,0,0,0,0x,0
764,41,1,0,0,0,0,0,0,0,0x,0
1091,6,1,0,0,0,0,0,0,0,0x,0
956,45,1,0,3,0,2,1,0,0.56,0x,2
512,6,1,0,4,0,0,4,0,0.15,0x,5
172,45,1,0,1,100,0,1,0,0.06,16.87x,0
66,15,1,0,0,0,0,0,0,0,0x,1
983,3,1,0,0,0,0,0,0,0,0x,1
1028,43,1,0,1,0,0,1,0,0.02,0x,4
836,41,1,11,22,23,16,6,5,4.29,1.17x,0
722,42,1,0,2,0,2,0,1,0.68,0x,0
1189,15,1,0,1,0,1,0,1,0.02,0x,9
203,35,1,3,9,0,5,4,0,0.95,0x,8
461,18,1,11,23,26,18,5,5,3.69,1.63x,0
619,18,1,11,17,35,14,3,4,3.36,1.79x,0
1156,5,1,1,3,0,2,1,1,0.14,0x,0
286,18,1,2,5,0,3,2,1,0.24,0x,27
789,13,1,4,5,0,1,4,0,0.46,0x,0
817,30,1,0,0,0,0,0,0,0,0x,1
825,4,1,0,1,0,1,0,1,0.18,0x,0
607,13,1,0,0,0,0,0,0,0,0x,0
342,18,1,1,7,0,3,4,2,0.38,0x,3
1187,30,1,2,2,50,2,0,2,0.14,7.26x,0
513,13,1,2,2,50,2,0,1,0.32,3.15x,2
188,19,1,4,8,25,6,2,1,1.43,1.4x,0
301,19,1,8,13,8,4,9,1,0.71,1.41x,2
1206,4,1,0,1,0,0,1,0,0.02,0x,0
24,19,1,1,8,0,3,5,2,0.83,0x,0
900,20,1,2,3,33,3,0,0,0.21,4.87x,11
383,20,1,3,8,13,3,5,0,0.49,2.04x,0
994,13,1,2,3,33,1,2,0,0.14,7.07x,0
277,32,1,0,0,0,0,0,0,0,0x,0
248,30,1,6,10,30,8,2,2,1.35,2.23x,1
1003,35,1,1,4,25,3,1,0,0.33,3.07x,3
1046,5,1,3,6,50,6,0,2,0.77,3.91x,0
1153,30,1,2,4,0,3,1,0,0.48,0x,10
734,13,1,0,1,0,1,0,1,0.05,0x,7
873,18,1,1,2,0,0,2,0,0.02,0x,0
891,20,1,1,2,0,1,1,0,0.26,0x,0
232,5,1,5,6,50,6,0,3,1.51,1.98x,0
148,19,1,0,3,0,1,2,0,0.11,0x,0
1151,5,1,1,2,0,1,1,0,0.11,0x,0
676,4,1,0,1,0,0,1,0,0.01,0x,0
989,35,1,0,1,0,0,1,0,0,0x,0
563,35,1,0,3,0,1,2,0,0.06,0x,1
434,2,1,0,1,0,1,0,0,0.15,0x,0
691,2,1,4,10,30,9,1,2,2.17,1.38x,0
1092,46,1,1,3,33,0,3,0,0.1,10.14x,12
593,28,1,1,1,0,1,0,0,0.04,0x,0
911,2,1,1,7,0,7,0,4,0.48,0x,0
659,16,1,1,6,0,6,0,2,0.68,0x,0
618,10,1,0,4,0,0,4,0,0.13,0x,6
1186,7,1,11,17,24,14,3,1,3.24,1.23x,2
797,34,1,1,2,50,0,2,0,0.07,13.75x,0
808,47,1,3,4,50,3,1,2,1.09,1.83x,10
623,28,1,6,14,29,8,6,2,2.27,1.76x,0
714,2,1,2,4,25,2,2,0,0.2,5.09x,0
1042,2,1,1,2,0,0,2,0,0.06,0x,1
601,2,1,0,1,0,1,0,0,0.04,0x,0
731,28,1,1,3,33,1,2,0,0.1,10.05x,0
727,7,1,1,5,0,2,3,1,0.24,0x,1
448,10,1,5,14,0,3,11,0,0.53,0x,0
1015,7,1,2,5,0,3,2,1,0.76,0x,1
409,7,1,0,1,0,1,0,0,0.03,0x,0
729,10,1,7,19,5,15,4,0,1.47,0.68x,3
274,4,1,0,2,0,0,2,0,0.02,0x,1
732,10,1,0,9,0,7,2,2,0.96,0x,0
244,46,1,2,4,0,2,2,0,0.42,0x,1
257,10,1,0,1,0,1,0,1,0.04,0x,0
360,28,1,0,0,0,0,0,0,0,0x,0
54,46,1,1,4,25,4,0,3,0.78,1.28x,0
991,16,1,1,4,0,1,3,0,0.23,0x,2
69,2,1,4,13,8,10,3,9,1.92,0.52x,0
375,2,1,0,0,0,0,0,0,0,0x,0
749,46,1,4,8,25,5,3,0,0.73,2.75x,10
1013,28,0,7,18,17,13,5,7,3,1x,0
805,46,0,0,0,0,0,0,0,0,0x,0
509,28,0,0,2,0,2,0,1,0.06,0x,0
218,33,0,0,5,0,4,1,2,0.29,0x,0
112,10,0,0,0,0,0,0,0,0,0x,0
705,7,0,0,0,0,0,0,0,0,0x,0
220,7,0,2,4,25,2,2,2,0.66,1.51x,0
557,10,0,1,2,0,2,0,1,0.32,0x,0
88,7,0,0,0,0,0,0,0,0,0x,0
617,10,0,0,0,0,0,0,0,0,0x,0
384,16,0,0,0,0,0,0,0,0,0x,0
1029,10,0,1,5,0,2,3,1,0.37,0x,0
