player_id,team_id,assists,attempts_on_target,attempts_at_goal,attempts_at_goal_conv_rate,attempts_inside_penalty,attempts_outside_penalty,headed_attempts_at_goal,xg,xg_efficiency,corners
228,33,0,0,0,0,0,0,0,0,0x,0
765,2,0,0,2,0,2,0,1,0.84,0x,0
555,28,0,0,4,0,2,2,0,0.12,0x,0
1098,46,0,1,3,0,1,2,0,0.21,0x,0
163,33,0,0,1,0,0,1,0,0.01,0x,0
262,34,0,0,0,0,0,0,0,0,0x,0
314,22,0,1,1,0,0,1,0,0.01,0x,1
222,33,0,1,2,0,2,0,0,0.05,0x,0
443,47,0,0,2,0,0,2,0,0.01,0x,0
774,4,0,3,3,67,3,0,0,1.31,1.53x,0
470,16,0,0,0,0,0,0,0,0,0x,0
1158,46,0,0,2,0,1,1,0,0.05,0x,0
353,2,0,4,12,17,4,8,2,0.9,2.22x,0
414,34,0,0,0,0,0,0,0,0,0x,0
870,16,0,0,0,0,0,0,0,0,0x,0
272,47,0,0,2,0,1,1,1,0.2,0x,0
558,10,0,0,2,0,2,0,2,0.11,0x,0
278,10,0,0,0,0,0,0,0,0,0x,0
1222,10,0,0,0,0,0,0,0,0,0x,0
45,16,0,0,2,0,1,1,0,0.44,0x,0
918,2,0,0,1,0,1,0,1,0.07,0x,0
48,34,0,0,0,0,0,0,0,0,0x,0
615,47,0,0,3,0,2,1,0,0.09,0x,0
1041,47,0,0,4,0,3,1,3,0.32,0x,0
913,2,0,0,1,0,0,1,0,0.08,0x,0
519,16,0,0,0,0,0,0,0,0,0x,0
1027,46,0,0,5,0,5,0,2,0.38,0x,0
118,33,0,0,0,0,0,0,0,0,0x,0
446,34,0,1,1,0,1,0,1,0.07,0x,0
1195,46,0,1,5,0,4,1,2,0.6,0x,0
212,10,0,0,0,0,0,0,0,0,0x,0
47,33,0,0,0,0,0,0,0,0,0x,0
253,2,0,2,3,33,3,0,3,0.41,2.45x,0
571,16,0,0,2,0,2,0,1,0.26,0x,0
695,2,0,1,4,0,0,4,0,0.07,0x,1
958,33,0,0,0,0,0,0,0,0,0x,0
494,7,0,1,2,0,2,0,1,0.4,0x,0
529,10,0,3,6,17,3,3,1,0.64,1.56x,0
502,33,0,2,6,0,4,2,2,0.39,0x,0
369,2,0,0,0,0,0,0,0,0,0x,0
627,34,0,1,3,0,1,2,0,0.2,0x,0
589,16,0,0,1,0,1,0,0,0.04,0x,0
128,46,0,0,0,0,0,0,0,0,0x,3
1172,46,0,0,0,0,0,0,0,0,0x,0
610,22,0,0,1,0,0,1,0,0.01,0x,0
332,28,0,0,2,0,1,1,1,0.19,0x,0
267,10,0,2,3,67,3,0,0,0.64,3.11x,0
1008,34,0,0,0,0,0,0,0,0,0x,0
790,7,0,4,10,30,5,5,1,1.21,2.49x,3
136,28,0,0,0,0,0,0,0,0,0x,0
381,47,0,2,10,0,3,7,0,0.5,0x,2
239,46,0,0,0,0,0,0,0,0,0x,0
929,16,0,2,2,50,0,2,0,0.04,25.98x,7
419,2,0,0,0,0,0,0,0,0,0x,0
225,33,0,1,2,0,2,0,0,0.08,0x,0
252,46,0,0,0,0,0,0,0,0,0x,0
570,46,0,0,0,0,0,0,0,0,0x,0
407,34,0,0,1,0,1,0,0,0.05,0x,0
435,16,0,5,8,13,4,4,1,1.16,0.86x,4
131,34,0,0,0,0,0,0,0,0,0x,0
111,34,0,0,1,0,0,1,0,0.02,0x,0
325,7,0,0,2,0,1,1,0,0.34,0x,0
447,34,0,0,2,0,2,0,2,0.07,0x,0
1038,33,0,0,0,0,0,0,0,0,0x,0
427,2,0,1,1,100,0,1,0,0.15,6.61x,1
602,47,0,0,0,0,0,0,0,0,0x,0
196,7,0,0,0,0,0,0,0,0,0x,0
1155,46,0,0,0,0,0,0,0,0,0x,0
942,28,0,1,1,0,0,1,0,0.02,0x,0
290,15,0,0,3,0,2,1,0,0.26,0x,0
985,15,0,0,2,0,0,2,0,0.03,0x,0
215,42,0,0,0,0,0,0,0,0,0x,0
