player_id,team_id,goals,assists,minutes_played
76,23,0,0,201
1123,11,0,0,201
336,39,0,0,202
175,48,0,0,203
16,37,0,0,203
438,38,0,0,203
897,38,0,0,204
176,38,0,0,204
1103,48,0,0,206
17,48,0,0,206
14,48,0,0,206
995,4,0,0,207
1134,25,0,0,208
1020,29,0,0,208
610,22,0,0,208
454,45,0,0,208
819,45,0,0,208
985,15,0,0,209
1238,23,0,0,210
223,11,0,0,210
1109,43,0,0,210
1125,6,0,0,211
918,2,0,0,211
382,47,0,0,211
879,37,0,0,213
969,27,0,0,216
262,34,0,0,216
564,35,0,0,218
907,11,0,0,220
868,9,0,0,221
514,6,0,0,221
844,44,0,0,221
132,25,0,0,225
200,28,0,0,226
1086,31,0,0,227
1072,24,0,0,228
894,37,0,0,230
975,39,0,0,232
725,3,0,0,232
60,42,0,0,233
837,24,0,0,235
424,28,0,0,236
