player_id,team_id,player_name,position,own_goals,forced_turnovers,defensive_pressures_applied,defensive_pressures_directly_applied
382,47,Federico Vinas,FW,0,12,63,6
728,28,Luis Chavez,MF,0,1,4,3
222,33,Cecilio Waterman,FW,0,7,19,2
998,16,Piero Hincapie,DF,0,11,80,29
691,2,Lautaro Martinez,FW,0,26,181,19
627,34,Junior Alonso,DF,0,31,140,16
351,7,Endrick,FW,0,3,53,5
69,2,Alexis Mac Allister,MF,0,20,181,32
54,46,Alex Freeman,DF,0,17,64,20
381,47,Federico Valverde,MF,0,19,76,8
269,7,Danilo,DF,0,3,50,8
228,33,Cesar Samudio,GK,0,0,0,0
327,33,Edgardo Farina,DF,0,0,0,0
571,16,Joel Ordonez,DF,0,7,18,5
251,33,Cristian Martinez,MF,0,11,105,17
257,10,Cucho Hernandez,FW,0,0,24,3
93,28,Alvaro Fidalgo,MF,0,6,35,4
1172,46,Tyler Adams,MF,0,30,65,21
426,47,Giorgian De Arrascaeta,MF,0,0,0,0
869,16,Moises Caicedo,MF,0,16,83,28
1044,7,Roger Ibanez,DF,0,0,10,1
375,2,Facundo Medina,DF,0,12,58,14
958,33,Orlando Mosquera,GK,0,0,0,0
325,7,Ederson Silva,MF,0,1,20,2
729,10,Luis Diaz,FW,0,29,103,11
348,2,Emiliano Martinez,GK,0,0,0,0
617,10,Juan Portilla,MF,0,0,0,0
428,46,Giovanni Reyna,MF,0,8,46,6
419,2,Geronimo Rulli,GK,0,0,0,0
502,33,Ismael Diaz,MF,0,3,20,1
352,16,Enner Valencia,FW,0,8,91,11
110,33,Andres Andrade,DF,0,10,38,19
913,2,Nico Paz,FW,0,7,44,6
1186,7,Vinicius Junior,FW,0,24,172,10
600,33,Jose Luis Rodriguez,MF,0,20,88,12
798,47,Matias Vina,DF,0,4,8,0
1029,10,Richard Rios,MF,0,4,55,24
1082,10,Santiago Arias,DF,0,5,12,1
1085,47,Santiago Mele,GK,0,0,0,0
593,28,Jorge Sanchez,DF,0,16,87,21
838,46,Miles Robinson,DF,0,6,11,5
992,16,Pervis Estupinan,DF,0,2,25,3
1208,16,Yaimar Medina,DF,0,1,10,3
765,2,Marcos Senesi,DF,0,0,3,2
906,7,Neymar Jr,FW,0,0,39,7
436,16,Gonzalo Valle,GK,0,0,0,0
641,22,Keeto Thermoncy,DF,0,0,0,0
602,47,Jose Maria Gimenez,DF,0,0,0,0
954,28,Orbelin Pineda,MF,0,3,33,1
196,7,Bremer,DF,0,0,0,0
244,46,Christian Pulisic,FW,0,8,73,9
448,10,Gustavo Puerta,DF,0,22,147,30
435,16,Gonzalo Plata,FW,0,14,135,11
45,16,Alan Minda,MF,0,1,28,1
115,16,Angelo Preciado,DF,0,4,29,3
567,47,Joaquin Piquerez,MF,0,0,0,0
111,34,Andres Cubas,MF,0,43,231,57
560,33,Jiovany Ramos,DF,0,3,29,18
911,2,Nico Gonzalez,MF,0,8,48,6
369,2,Exequiel Palacios,MF,0,1,5,1
1092,46,Sebastian Berhalter,MF,0,9,63,17
201,47,Brian Rodriguez,FW,0,2,15,1
832,34,Miguel Almiron,MF,0,17,123,21
125,16,Anthony Valencia,MF,0,0,0,0
212,10,Camilo Vargas,GK,0,0,0,0
1099,47,Sergio Rochet,GK,0,0,0,0
326,33,Edgar Yoel Barcenas,MF,0,9,74,6
922,2,Nicolas Tagliafico,DF,0,9,62,11
71,28,Alexis Vega,FW,0,1,3,0
303,34,Diego Gomez,MF,0,23,147,37
1040,47,Rodrigo Aguirre,FW,0,0,0,0
622,2,Julian Alvarez,FW,0,33,215,31
654,10,Kevin Castano,MF,0,1,9,0
804,34,Mauricio,MF,0,10,75,4
705,7,Leo Pereira,DF,0,0,0,0
25,47,Agustin Canobbio,MF,0,16,107,16
1199,10,Willer Ditta,DF,0,0,0,0
1034,28,Roberto Alvarado,FW,0,6,75,13
1195,46,Weston Mckennie,MF,0,22,102,21
610,22,Josue Casimir,FW,0,9,81,13
777,7,Marquinhos,DF,0,11,45,12
441,28,Guillermo Martinez,FW,0,3,41,4
772,46,Mark Mckenzie,DF,0,2,9,1
625,34,Julio Enciso,FW,0,20,209,17
570,46,Joe Scally,DF,0,4,19,4
712,2,Lionel Messi,FW,0,24,147,20
579,16,John Yeboah,FW,0,44,73,20
957,34,Orlando Gill,GK,0,1,0,0
52,34,Alex Arce,FW,0,1,32,4
526,10,James Rodriguez,MF,0,7,146,8
623,28,Julian Quinones,FW,0,13,162,12
800,46,Matt Freese,GK,0,0,0,0
733,7,Luiz Henrique,FW,0,2,10,3
118,33,Anibal Godoy,MF,0,0,2,1
1012,7,Raphinha,FW,0,10,59,7
695,2,Leandro Paredes,MF,0,15,42,14
353,2,Enzo Fernandez,MF,0,43,149,24
727,7,Lucas Paqueta,MF,0,9,104,17
270,7,Danilo Santos,MF,0,1,22,4
808,47,Maxi Araujo,MF,0,10,79,11
357,33,Eric Davis,DF,0,1,1,1
427,2,Giovani Lo Celso,MF,0,8,23,6
407,34,Gabriel Avalos,FW,0,5,46,5
601,2,Jose Manuel Lopez,FW,0,2,9,3
991,16,Pedro Vite,MF,0,34,119,29
774,4,Marko Arnautovic,FW,0,5,35,1
519,16,Jackson Porozo,DF,0,2,2,0
289,16,Denil Castillo,MF,0,0,0,0
1038,33,Roderick Miller,DF,0,0,0,0
1027,46,Ricardo Pepi,FW,0,18,84,15
591,10,Jorge Carrascal,MF,0,0,0,0
424,28,Gilberto Mora,MF,0,15,96,9
1093,47,Sebastian Caceres,DF,0,8,31,13
1181,2,Valentin Barco,MF,0,0,7,2
131,34,Antonio Sanabria,FW,0,4,38,2
599,33,Jose Fajardo,FW,0,18,99,19
556,10,Jhon Arias,MF,0,33,107,27
574,10,Johan Mojica,DF,0,11,45,3
367,12,Evann Guessand,FW,0,2,9,2
972,12,Parfait Guiagon,MF,0,0,0,0
498,40,Iqraam Rayners,FW,0,7,83,2
950,40,Olwethu Makhanya,DF,0,0,0,0
583,9,Jonathan Osorio,MF,0,1,3,1
235,29,Chemsdine Talbi,MF,0,6,59,7
489,12,Ibrahim Sangare,MF,0,23,114,29
1022,40,Relebohile Mofokeng,FW,0,18,107,13
341,21,Elisha Owusu,MF,0,5,55,10
127,21,Antoine Semenyo,MF,0,26,123,20
1169,17,Trezeguet,FW,0,6,46,4
953,44,Omar Rekik,DF,0,5,17,5
9,21,Abdul Fatawu,FW,0,11,50,5
566,8,Joao Paulo,MF,0,5,25,4
1207,12,Yahia Fofana,GK,0,0,0,0
1226,29,Youssef Belammari,DF,0,0,0,0
160,29,Ayoube Amaimouni,FW,0,4,10,3
95,12,Amad Diallo,FW,0,8,54,12
967,9,Owen Goodman,GK,0,0,0,0
458,44,Hannibal Mejbri,MF,0,19,125,17
413,22,Garven Metusala,DF,0,0,0,0
521,9,Jacob Shaffelburg,MF,0,5,22,6
299,22,Derrick Etienne,FW,0,0,2,0
421,29,Gessime Yassine,MF,0,1,22,6
366,12,Evan Ndicka,DF,0,0,0,0
85,21,Alidu Seidu,DF,0,0,16,6
466,44,Hazem Mastouri,FW,0,1,38,4
1076,29,Samir El Mourabet,MF,0,6,33,5
1112,40,Sipho Chaine,GK,0,0,0,0
637,21,Kamaldeen Sulemana,FW,0,3,62,8
364,21,Ernest Nuamah,FW,0,2,58,6
1143,40,Thalente Mbatha,MF,0,12,99,14
297,9,Derek Cornelius,DF,0,4,29,6
877,17,Mostafa Shoubir,GK,0,0,0,0
422,12,Ghislain Konan,DF,0,14,67,12
751,39,Mamadou Sarr,DF,0,0,0,0
1113,29,Sofyan Amrabat,MF,0,10,49,16
143,39,Assane Diao,FW,0,1,3,0
612,8,Jovane Cabral,MF,0,14,86,7
452,17,Haissem Hassan,FW,0,0,44,0
