player_id,team_id,player_name,position,assists,attempts_on_target,attempts_at_goal,attempts_at_goal_conv_rate,attempts_inside_penalty,attempts_outside_penalty,headed_attempts_at_goal,xg,xg_efficiency,corners
1014,28,Raul Rangel,GK,0,0,0,0,0,0,0,0,0x,0
410,7,Gabriel Martinelli,FW,0,1,2,50,1,1,0,0.49,2.04x,0
397,46,Folarin Balogun,FW,0,5,14,21,14,0,2,2.02,1.49x,0
387,47,Fernando Muslera,GK,0,0,0,0,0,0,0,0,0x,0
251,33,Cristian Martinez,MF,0,0,1,0,1,0,0,0.24,0x,4
501,34,Isidro Pitta,FW,0,0,0,0,0,0,0,0,0x,0
371,34,Fabian Balbuena,DF,0,0,0,0,0,0,0,0,0x,0
798,47,Matias Vina,DF,0,0,0,0,0,0,0,0,0x,0
1162,33,Tomas Rodriguez,FW,0,1,1,0,0,1,0,0.06,0x,0
326,33,Edgar Yoel Barcenas,MF,0,0,2,0,0,2,0,0.05,0x,3
597,34,Jose Canale,DF,0,0,0,0,0,0,0,0,0x,0
324,7,Ederson,GK,0,0,0,0,0,0,0,0,0x,0
453,46,Haji Wright,FW,0,0,0,0,0,0,0,0,0x,0
590,16,Jordy Caicedo,FW,0,0,1,0,1,0,0,0.05,0x,0
1196,7,Weverton,GK,0,0,0,0,0,0,0,0,0x,0
1199,10,Willer Ditta,DF,0,0,0,0,0,0,0,0,0x,0
728,28,Luis Chavez,MF,0,0,0,0,0,0,0,0,0x,0
1093,47,Sebastian Caceres,DF,0,0,3,0,2,1,2,0.13,0x,0
415,34,Gatito Fernandez,GK,0,0,0,0,0,0,0,0,0x,0
772,46,Mark Mckenzie,DF,0,0,0,0,0,0,0,0,0x,0
428,46,Giovanni Reyna,MF,0,1,2,50,2,0,0,0.22,4.61x,0
217,28,Carlos Acevedo,GK,0,0,0,0,0,0,0,0,0x,0
197,46,Brenden Aaronson,FW,0,1,3,0,3,0,0,0.46,0x,0
201,47,Brian Rodriguez,FW,0,1,3,0,1,2,0,0.22,0x,10
376,47,Facundo Pellistri,FW,0,0,0,0,0,0,0,0,0x,0
429,2,Giuliano Simeone,FW,0,0,0,0,0,0,0,0,0x,0
442,28,Guillermo Ochoa,GK,0,0,0,0,0,0,0,0,0x,0
1215,22,Yassin Fortune,FW,0,0,0,0,0,0,0,0,0x,0
227,28,Cesar Montes,DF,0,1,1,0,1,0,1,0.06,0x,0
804,34,Mauricio,MF,0,3,4,25,2,2,0,0.32,3.12x,5
648,16,Kendry Paez,MF,0,0,0,0,0,0,0,0,0x,0
800,46,Matt Freese,GK,0,0,0,0,0,0,0,0,0x,0
592,33,Jorge Gutierrez,DF,0,0,0,0,0,0,0,0,0x,0
832,34,Miguel Almiron,MF,0,0,4,0,1,3,0,0.11,0x,2
598,33,Jose Cordoba,DF,0,0,0,0,0,0,0,0,0x,0
25,47,Agustin Canobbio,MF,0,1,4,25,4,0,1,0.75,1.33x,0
730,33,Luis Mejia,GK,0,0,0,0,0,0,0,0,0x,0
200,28,Brian Gutierrez,MF,0,0,6,0,3,3,0,0.35,0x,3
382,47,Federico Vinas,FW,0,3,6,0,6,0,5,0.39,0x,0
1047,47,Ronald Araujo,DF,0,0,0,0,0,0,0,0,0x,0
149,46,Auston Trusty,DF,0,2,3,33,3,0,1,0.27,3.7x,0
951,34,Omar Alderete,DF,0,0,1,0,0,1,0,0.01,0x,0
1082,10,Santiago Arias,DF,0,0,0,0,0,0,0,0,0x,0
546,10,Jefferson Lerma,MF,0,1,5,0,2,3,0,0.24,0x,0
1181,2,Valentin Barco,MF,0,0,0,0,0,0,0,0,0x,0
1208,16,Yaimar Medina,DF,0,0,1,0,1,0,1,0.04,0x,0
424,28,Gilberto Mora,MF,0,0,5,0,3,2,0,0.13,0x,2
579,16,John Yeboah,FW,0,3,8,0,4,4,0,0.72,0x,3
1084,28,Santiago Gimenez,FW,0,1,2,0,2,0,0,0.34,0x,0
449,34,Gustavo Velazquez,DF,0,0,0,0,0,0,0,0,0x,0
389,33,Fidel Escobar,DF,0,0,0,0,0,0,0,0,0x,0
226,28,Cesar Huerta,FW,0,0,0,0,0,0,0,0,0x,0
110,33,Andres Andrade,DF,0,0,0,0,0,0,0,0,0x,0
794,47,Mathias Olivera,DF,0,0,1,0,1,0,1,0.05,0x,0
289,16,Denil Castillo,MF,0,0,0,0,0,0,0,0,0x,0
348,2,Emiliano Martinez,GK,0,0,0,0,0,0,0,0,0x,0
426,47,Giorgian De Arrascaeta,MF,0,0,0,0,0,0,0,0,0x,0
270,7,Danilo Santos,MF,0,1,2,0,2,0,1,0.19,0x,0
838,46,Miles Robinson,DF,0,0,1,0,1,0,1,0.06,0x,0
526,10,James Rodriguez,MF,0,3,6,0,2,4,0,0.24,0x,11
922,2,Nicolas Tagliafico,DF,0,0,0,0,0,0,0,0,0x,0
556,10,Jhon Arias,MF,0,4,9,11,7,2,0,0.94,1.07x,4
327,33,Edgardo Farina,DF,0,0,0,0,0,0,0,0,0x,0
191,34,Braian Ojeda,MF,0,0,0,0,0,0,0,0,0x,0
733,7,Luiz Henrique,FW,0,0,0,0,0,0,0,0,0x,0
240,46,Chris Richards,DF,0,0,1,0,1,0,1,0.06,0x,0
622,2,Julian Alvarez,FW,0,5,11,9,7,4,0,1.39,0.72x,0
916,47,Nicolas De La Cruz,MF,0,2,4,0,1,3,0,0.11,0x,4
93,28,Alvaro Fidalgo,MF,0,2,3,33,2,1,0,0.35,2.85x,0
1083,47,Santiago Bueno,DF,0,0,0,0,0,0,0,0,0x,0
777,7,Marquinhos,DF,0,0,2,0,2,0,1,0.21,0x,0
992,16,Pervis Estupinan,DF,0,0,0,0,0,0,0,0,0x,0
269,7,Danilo,DF,0,0,1,0,1,0,0,0.04,0x,0
44,16,Alan Franco,MF,0,0,0,0,0,0,0,0,0x,0
58,7,Alex Sandro,DF,0,0,0,0,0,0,0,0,0x,0
575,28,Johan Vasquez,DF,0,0,1,0,1,0,1,0.22,0x,0
103,33,Amir Murillo,DF,0,1,5,0,4,1,0,0.37,0x,0
600,33,Jose Luis Rodriguez,MF,0,1,3,0,1,2,0,0.24,0x,3
441,28,Guillermo Martinez,FW,0,0,0,0,0,0,0,0,0x,0
287,10,Deiver Machado,DF,0,0,0,0,0,0,0,0,0x,0
352,16,Enner Valencia,FW,0,6,10,0,9,1,2,1.53,0x,0
317,7,Douglas Santos,DF,0,0,2,0,2,0,0,0.2,0x,0
654,10,Kevin Castano,MF,0,0,0,0,0,0,0,0,0x,0
1044,7,Roger Ibanez,DF,0,0,0,0,0,0,0,0,0x,0
282,10,Davinson Sanchez,DF,0,2,6,0,5,1,4,0.54,0x,0
20,33,Adalberto Carrasquilla,MF,0,0,0,0,0,0,0,0,0x,0
906,7,Neymar Jr,FW,0,2,3,33,3,0,0,0.82,1.22x,5
115,16,Angelo Preciado,DF,0,0,0,0,0,0,0,0,0x,0
599,33,Jose Fajardo,FW,0,0,1,0,1,0,1,0.25,0x,0
1040,47,Rodrigo Aguirre,FW,0,0,0,0,0,0,0,0,0x,0
68,34,Alexandro Maidana,DF,0,0,0,0,0,0,0,0,0x,0
59,46,Alex Zendejas,FW,0,0,1,0,1,0,0,0,0x,0
550,16,Jeremy Arevalo,FW,0,0,0,0,0,0,0,0,0x,0
957,34,Orlando Gill,GK,0,0,0,0,0,0,0,0,0x,0
574,10,Johan Mojica,DF,0,2,3,0,1,2,1,0.13,0x,0
954,28,Orbelin Pineda,MF,0,0,1,0,1,0,0,0.09,0x,0
52,34,Alex Arce,FW,0,0,0,0,0,0,0,0,0x,0
125,16,Anthony Valencia,MF,0,0,0,0,0,0,0,0,0x,0
229,33,Cesar Yanis,MF,0,0,0,0,0,0,0,0,0x,0
616,2,Juan Musso,GK,0,0,0,0,0,0,0,0,0x,0
1099,47,Sergio Rochet,GK,0,0,0,0,0,0,0,0,0x,0
94,10,Alvaro Montero,GK,0,0,0,0,0,0,0,0,0x,0
998,16,Piero Hincapie,DF,0,0,3,0,3,0,3,0.4,0x,1
801,46,Matt Turner,GK,0,0,0,0,0,0,0,0,0x,0
357,33,Eric Davis,DF,0,0,1,0,0,1,0,0,0x,2
71,28,Alexis Vega,FW,0,0,0,0,0,0,0,0,0x,0
1085,47,Santiago Mele,GK,0,0,0,0,0,0,0,0,0x,0
567,47,Joaquin Piquerez,MF,0,0,0,0,0,0,0,0,0x,0
436,16,Gonzalo Valle,GK,0,0,0,0,0,0,0,0,0x,0
892,2,Nahuel Molina,DF,0,0,1,0,0,1,0,0.02,0x,0
869,16,Moises Caicedo,MF,0,1,4,0,1,3,1,0.19,0x,8
1012,7,Raphinha,FW,0,2,3,0,1,2,0,0.34,0x,7
351,7,Endrick,FW,0,0,3,0,2,1,0,0.68,0x,0
591,10,Jorge Carrascal,MF,0,0,0,0,0,0,0,0,0x,0
303,34,Diego Gomez,MF,0,0,6,0,2,4,0,0.25,0x,1
755,47,Manuel Ugarte,MF,0,1,3,0,0,3,0,0.09,0x,0
788,28,Mateo Chavez,DF,0,1,1,100,1,0,0,0.49,2.04x,0
1201,16,Willian Pacho,DF,0,1,1,0,1,0,1,0.11,0x,0
1043,47,Rodrigo Zalazar,MF,0,0,0,0,0,0,0,0,0x,0
1149,2,Thiago Almada,FW,0,2,5,0,2,3,0,0.25,0x,0
614,34,Juan Jose Caceres,DF,0,1,2,0,1,1,0,0.07,0x,0
560,33,Jiovany Ramos,DF,0,0,2,0,1,1,0,0.15,0x,0
228,33,Cesar Samudio,GK,0,0,0,0,0,0,0,0,0x,0
765,2,Marcos Senesi,DF,0,0,2,0,2,0,1,0.84,0x,0
555,28,Jesus Gallardo,DF,0,0,4,0,2,2,0,0.12,0x,0
1098,46,Sergino Dest,DF,0,1,3,0,1,2,0,0.21,0x,0
163,33,Azarias Londono,FW,0,0,1,0,0,1,0,0.01,0x,0
262,34,Damian Bobadilla,MF,0,0,0,0,0,0,0,0,0x,0
314,22,Dominique Simon,MF,0,1,1,0,0,1,0,0.01,0x,1
222,33,Cecilio Waterman,FW,0,1,2,0,2,0,0,0.05,0x,0
443,47,Guillermo Varela,DF,0,0,2,0,0,2,0,0.01,0x,0
774,4,Marko Arnautovic,FW,0,3,3,67,3,0,0,1.31,1.53x,0
470,16,Hernan Galindez,GK,0,0,0,0,0,0,0,0,0x,0
1158,46,Timothy Weah,FW,0,0,2,0,1,1,0,0.05,0x,0
353,2,Enzo Fernandez,MF,0,4,12,17,4,8,2,0.9,2.22x,0
414,34,Gaston Olveira,GK,0,0,0,0,0,0,0,0,0x,0
870,16,Moises Ramirez,GK,0,0,0,0,0,0,0,0,0x,0
272,47,Darwin Nunez,FW,0,0,2,0,1,1,1,0.2,0x,0
558,10,Jhon Lucumi,DF,0,0,2,0,2,0,2,0.11,0x,0
278,10,David Ospina,GK,0,0,0,0,0,0,0,0,0x,0
1222,10,Yerry Mina,DF,0,0,0,0,0,0,0,0,0x,0
45,16,Alan Minda,MF,0,0,2,0,1,1,0,0.44,0x,0
918,2,Nicolas Otamendi,DF,0,0,1,0,1,0,1,0.07,0x,0
48,34,Alejandro Romero Gamarra,FW,0,0,0,0,0,0,0,0,0x,0
615,47,Juan Manuel Sanabria,MF,0,0,3,0,2,1,0,0.09,0x,0
1041,47,Rodrigo Bentancur,MF,0,0,4,0,3,1,3,0.32,0x,0
913,2,Nico Paz,FW,0,0,1,0,0,1,0,0.08,0x,0
519,16,Jackson Porozo,DF,0,0,0,0,0,0,0,0,0x,0
1027,46,Ricardo Pepi,FW,0,0,5,0,5,0,2,0.38,0x,0
118,33,Anibal Godoy,MF,0,0,0,0,0,0,0,0,0x,0
446,34,Gustavo Caballero,MF,0,1,1,0,1,0,1,0.07,0x,0
1195,46,Weston Mckennie,MF,0,1,5,0,4,1,2,0.6,0x,0
212,10,Camilo Vargas,GK,0,0,0,0,0,0,0,0,0x,0
47,33,Alberto Quintero,MF,0,0,0,0,0,0,0,0,0x,0
253,2,Cristian Romero,DF,0,2,3,33,3,0,3,0.41,2.45x,0
571,16,Joel Ordonez,DF,0,0,2,0,2,0,1,0.26,0x,0
695,2,Leandro Paredes,MF,0,1,4,0,0,4,0,0.07,0x,1
958,33,Orlando Mosquera,GK,0,0,0,0,0,0,0,0,0x,0
494,7,Igor Thiago,FW,0,1,2,0,2,0,1,0.4,0x,0
529,10,Jaminton Campaz,FW,0,3,6,17,3,3,1,0.64,1.56x,0
502,33,Ismael Diaz,MF,0,2,6,0,4,2,2,0.39,0x,0
369,2,Exequiel Palacios,MF,0,0,0,0,0,0,0,0,0x,0
627,34,Junior Alonso,DF,0,1,3,0,1,2,0,0.2,0x,0
589,16,Jordy Alcivar,MF,0,0,1,0,1,0,0,0.04,0x,0
128,46,Antonee Robinson,DF,0,0,0,0,0,0,0,0,0x,3
1172,46,Tyler Adams,MF,0,0,0,0,0,0,0,0,0x,0
610,22,Josue Casimir,FW,0,0,1,0,0,1,0,0.01,0x,0
332,28,Edson Alvarez,DF,0,0,2,0,1,1,1,0.19,0x,0
267,10,Daniel Munoz,DF,0,2,3,67,3,0,0,0.64,3.11x,0
1008,34,Ramon Sosa,MF,0,0,0,0,0,0,0,0,0x,0
