player_id,team_id,player_name,position,goals,assists,minutes_played
442,28,Guillermo Ochoa,GK,0,0,18
71,28,Alexis Vega,FW,0,0,18
1146,40,Themba Zwane,MF,0,0,19
542,12,Jean Michael Seri,MF,0,0,19
281,15,David Zima,DF,0,0,19
99,26,Amer Jamous,MF,0,0,19
1008,34,Ramon Sosa,MF,0,0,19
1175,14,Tyrese Noslin,FW,0,0,19
490,19,Ibrahima Konate,DF,0,0,19
865,23,Mohanad Ali,FW,0,0,20
1050,14,Roshon Van Eijma,DF,0,0,20
649,14,Kenji Gorre,FW,0,0,20
648,16,Kendry Paez,MF,0,0,20
390,38,Findlay Curtis,FW,0,0,21
136,28,Armando Gonzalez,FW,0,0,21
91,9,Alphonso Davies,DF,0,0,22
1064,26,Saed Alrosan,DF,0,0,22
59,46,Alex Zendejas,FW,0,0,22
1234,29,Zakaria El Ouahdi,DF,0,0,22
1110,12,Simon Adingra,FW,0,0,22
646,42,Ken Sema,MF,0,0,22
1107,25,Shuto Machino,FW,0,0,23
735,13,Luka Sucic,MF,0,0,23
124,38,Anthony Ralston,DF,0,0,23
165,48,Azizbek Amonov,FW,0,0,23
974,20,Pascal Gross,MF,0,0,24
1181,2,Valentin Barco,MF,0,0,24
37,23,Aimar Sher,MF,0,0,24
887,23,Mustafa Saadoon,DF,0,0,24
90,36,Almoez Ali,FW,0,0,24
1211,27,Yang Hyunjun,MF,0,0,25
460,6,Haris Tabakovic,FW,0,0,25
934,43,Noah Okafor,FW,0,0,25
1075,1,Samir Chergui,DF,0,0,25
1194,19,Warren Zaire Emery,MF,0,0,25
1077,35,Samu Costa,DF,0,0,26
1096,5,Senne Lammens,GK,0,0,26
104,24,Amirhossein Hosseinzadeh,FW,0,0,26
322,6,Dzenis Burnic,MF,0,0,27
367,12,Evann Guessand,FW,0,0,27
874,44,Mortadha Ben Ouanes,DF,0,0,27
654,10,Kevin Castano,MF,0,0,28
23,1,Adil Boulbina,FW,0,0,28
191,34,Braian Ojeda,MF,0,0,28
1115,32,Sondre Langas,DF,0,0,29
660,23,Kevin Yakob,MF,0,0,29
815,24,Mehdi Torabi,MF,0,0,29
762,4,Marco Friedl,DF,0,0,30
151,3,Awer Mabil,FW,0,0,31
728,28,Luis Chavez,MF,0,0,31
846,1,Mohamed Amoura,FW,0,0,31
318,22,Duckens Nazon,FW,0,0,31
398,31,Francis De Vries,DF,0,0,32
400,35,Francisco Trincao,FW,0,0,32
631,30,Justin Kluivert,MF,0,0,32
1225,23,Youssef Amyn,MF,0,0,32
811,20,Maximilian Beier,FW,0,0,33
1140,3,Tete Yengi,FW,0,0,33
160,29,Ayoube Amaimouni,FW,0,0,33
1073,6,Samed Bazdar,FW,0,0,35
450,30,Guus Til,MF,0,0,36
171,39,Bara Sapoko Ndiaye,MF,0,0,36
519,16,Jackson Porozo,DF,0,0,36
568,5,Joaquin Seys,DF,0,0,36
528,20,Jamie Leweling,MF,0,0,37
543,19,Jean Philippe Mateta,FW,0,0,38
325,7,Ederson Silva,MF,0,0,38
1239,1,Zineddine Belaid,DF,0,0,38
84,23,Ali Yousif,FW,0,0,38
733,7,Luiz Henrique,FW,0,0,38
32,23,Ahmed Maknazi,DF,0,0,38
355,43,Eray Coemert,DF,0,0,39
979,4,Patrick Wimmer,FW,0,0,39
590,16,Jordy Caicedo,FW,0,0,40
963,12,Oumar Diakite,FW,0,0,40
27,36,Ahmed Alganehi,MF,0,0,41
73,36,Alhashmi Alhussein,DF,0,0,41
63,4,Alexander Prass,MF,0,0,41
237,27,Cho Guesung,FW,0,0,41
1019,23,Rebin Sulaka,DF,0,0,41
77,24,Ali Alipour,FW,0,0,42
